Country,"Inflation, consumer prices (annual %)",Urbanization (%),FDI (% of GDP),"GDP per capita, PPP (current international $)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Tax revenue (% of GDP),Individuals using the Internet (% of population),Trade Openness (% of GDP),Rule of Law Score,Government Effectiveness,Regulatory Quality,Real GDP Growth (% Change),Voice and Accountability: Estimate,Political Stability and Absence of Violence/Terrorism: Estimate,"Central government debt, total (% of GDP)",External debt stocks (% of GNI),Public and publicly guaranteed debt service (% of exports),RSF_PressFreedomIndex,RSF_PressFreedomIndex_PoliticalScore,RSF_PressFreedomIndex_EconomicScore,RSF_PressFreedomIndex_LegalScore,RSF_PressFreedomIndex_SocialScore,RSF_PressFreedomIndex_SafetyScore,ECI,CPI score 2022,LiteracyRate_TotalPopulation_Pct,Gini_Index,Domestic credit to private sector (% of GDP)
Lithuania,19.7050461518394,68.465,3.40588108209325,50455.9203561357,5.955,21.0977186369958,87.7242,175.651612151093,1.06033229827881,0.993961572647095,1.29888129234314,2.53752500887173,1.06778585910797,0.653032541275024,36.0383704424596,,,"84,14","87,01","72,16","84,46","89,71","87,37",0.8296815,62,99.8,36.24,35.6991095636078
Malawi,20.953969729969,17.98,1.59888613227793,1778.30582146001,5.037,13.5038573942269,27.6609,,-0.221973344683647,-0.853226065635681,-0.739736258983612,0.921115069005936,0.062155295163393,-0.157983273267746,55.5992119991912,25.8433527035045,9.18289276406369,"61,4","55,76","38,44","78,07","67,67","67,08",-0.7134903,34,68.0,37.9,8.64704907517316
Malaysia,3.37869862549928,78.214,3.68689336269238,34366.2284812577,3.93,11.6374738583074,97.3986,146.505418280787,0.561419248580933,0.992667615413666,0.644006609916687,8.86182187578046,0.000423186487751082,0.163117811083794,60.1811225069523,,,"51,55","46,52","42,6","40,13",56,"72,48",1.0242734,47,95.0,41.18,113.132874268113
Mali,9.62147608489072,45.437,3.809679019826,2525.245789037,2.387,,33.0528,73.4634225003119,-0.982342958450317,-1.1489531993866,-0.634121775627136,3.47495171106735,-0.920922577381134,-2.56074357032776,,34.4760976260216,5.11417034429757,"54,48","35,15","42,6","74,34","78,5","41,81",-0.8012846,28,31.0,35.28,29.7060719351386
Mauritius,10.7737512242899,40.81,0.285717274004848,26601.7206625605,6.322,19.0504977293179,75.5,118.339828499599,0.796292245388031,0.766172587871552,1.16610610485077,8.87988519700977,0.613581001758575,0.830023586750031,,139.034548828775,4.60656357313387,"66,07","55,58","47,81","64,16","80,29","82,5",0.088347584,50,92.2,36.76,72.4160408571107
Mexico,7.8962761916855,81.3,2.67089845651245,23340.6634022084,3.256,13.4281110671168,78.6322,88.3870894769952,-0.869425058364868,-0.281723529100418,-0.148309499025345,3.68911109348025,-0.119756743311882,-0.689268112182617,44.0481728467751,40.8801551759967,8.67363189265452,"47,57","58,18","43,37","65,79","59,5","11,02",1.2591261,31,95.2,44.1,34.310096245079
Moldova,28.7372976766235,43.173,4.03859534264597,16381.3068315541,0.897,18.9403645740556,63.5349,110.733965557959,-0.286401212215424,-0.307596892118454,0.101790711283684,-5.01548231924089,0.0965940952301025,-0.659070193767548,34.5213178653949,66.7444705427208,10.0332301955477,"73,47","70,15","47,83",83,"85,88","80,48",0.0779718,39,99.6,25.73,27.538789542198
Mongolia,15.1479560897226,68.93,14.6053065112102,16401.9894751531,6.211,,83.9145,136.327929944516,-0.187781766057014,-0.424924910068512,-0.27089050412178,5.0327096366527,0.264592379331589,0.529954373836517,,222.002730224829,35.1299527790949,"59,17","55,48","36,18","60,37","69,55","74,27",-1.534846,33,99.0,32.74,40.9774857798216
Mozambique,10.2794018093421,38.187,16.0042947069706,1581.9441944418,3.596,22.66159088001,21.207,135.279578416991,-1.02469038963318,-0.73704868555069,-0.726218461990356,4.36445074535436,-0.586264908313751,-1.26560831069946,76.6350609536734,425.996855562271,60.2780330218738,"49,89","46,06","40,31","61,62","47,25","54,21",-1.5526813,26,63.4,50.45,20.72083608791
Myanmar,,31.771,,5731.93787872064,3.057,,,,-1.52809286117554,-1.68502449989319,-1.23508405685425,4.03749343593624,-1.81123757362366,-2.19571399688721,,20.5985803247671,7.02818324308264,"25,03","40,4","29,25","20,18","30,67","4,63",-0.9368122,23,89.1,30.7,
Namibia,6.08128114112413,53.956,8.40312508783681,10657.7384627391,19.695,27.1715483207126,62.215,99.1081598746768,0.414922207593918,0.0692832469940186,-0.0150013873353601,5.34966408559102,0.567221879959106,0.559885740280151,,,,"81,84","72,97","69,8","82,98","91,6","91,84",-0.5505019,49,92.3,59.07,61.0338236640477
Netherlands,10.0012078753473,92.886,1.48704290039353,77087.394232687,3.526,23.2559215954599,92.5197,184.107484252682,1.65676593780518,1.57889866828918,1.71227204799652,5.00723459045037,1.54713273048401,0.726799547672272,,,,"77,93","86,3","82,86","87,28","86,1","47,09",1.0714959,80,99.0,36.980000000000004,88.8195045380451
New Zealand,7.17222476016441,86.884,3.3802437002905,53070.993210215,3.297,29.9338565180745,95.7299,54.0869189811484,1.73037374019623,1.34026157855988,1.86519300937653,2.7748426484212,1.65168607234955,1.32116913795471,54.5666722344428,,,"83,54","90,15","75,26","74,78","89,75","87,76",0.22453047,87,99.0,32.0,147.762871682462
Niger,4.22621791916393,16.894,6.25881415979847,1839.96909675904,0.418,,16.937,31.3325137050778,-0.49811726808548,-0.627598226070404,-0.72080385684967,11.9000000000277,-0.37544509768486,-1.46439230442047,,38.6137281286548,18.1866566369135,"67,8","62,3","46,73","71,75","76,5","81,69",-0.4314999,32,38.0,37.26,12.4891662415375
Nigeria,18.8471877843274,53.521,-0.0391267487603444,5948.72614706813,3.821,,35.4563,,-0.913985073566437,-1.04151690006256,-1.15594470500946,3.25168140827093,-0.598563253879547,-1.77890145778656,,22.4251264456301,11.2775817239966,"46,79","45,15","36,39","53,8","69,83","28,75",-1.7110643,24,62.0,35.13,12.9574673117641
North Macedonia,14.2047173195833,59.118,6.13067578989693,24047.2965519113,14.476,,84.2304,166.147357379878,-0.0968875586986542,-0.0813848301768303,0.452958881855011,2.75888415332967,0.162095278501511,0.180839285254478,,89.77486079021,10.5171176353928,"68,44","66,16","43,71","81,29","73,17","77,85",0.27513185,40,98.4,31.400000000000002,54.2953220350026
Norway,5.76412317852272,83.664,2.42127009824237,122516.243560811,3.231,31.2732757669244,99.0,82.6051865827872,1.76085293292999,1.94172024726868,1.5161395072937,3.00563516076298,1.78067529201508,0.86123925447464,,,,"92,65","94,89","90,38","92,23","93,71","92,03",0.1767339,84,100.0,32.8,110.753636441674
Oman,2.5061425061425,87.75,6.21991338772931,43244.3771424737,3.3,,97.849,100.584539895545,0.49886080622673,0.0215067788958549,0.432644993066788,9.5771061309605,-1.14781379699707,0.532249212265015,,,,"35,99","32,73","23,98","18,42",45,"59,82",-0.43996128,44,95.7,30.09,54.7476590617624
Pakistan,19.8738599646655,37.731,0.389980753542853,5920.2743065411,5.485,,32.9486,33.031353478032,-0.672116339206696,-0.624728679656982,-0.886412620544434,4.7781068690358,-0.862116992473602,-1.83982634544373,,34.5671200388314,42.0224308246538,"37,99","39,57","31,92","53,26","47,43","17,75",-0.52038205,27,58.0,29.59,14.8383242381905
Panama,2.85965128834711,69.141,3.92922448045916,36245.1456551041,8.086,,73.6085,93.687178754867,-0.359851568937302,-0.128100603818893,0.127132147550583,10.769665870619,0.541374862194061,0.289221227169037,,,,"62,78","54,24","47,45","64,04",74,"74,15",-0.14042449,36,95.7,49.6,
Paraguay,9.76556667164402,62.818,1.60188029306692,16347.0434974754,6.755,10.2661363911407,76.2592,73.7379050218566,-0.591498374938965,-0.614015102386475,-0.169901669025421,0.176038366132886,0.00371037004515529,0.0355493128299713,,61.6625529528558,14.1546331485741,"58,36","54,24","31,12","75,44",65,"65,99",-0.44066167,28,94.5,45.11,51.0176123623542
Peru,8.33370630096231,78.708,4.54440029182456,16657.4897212687,3.85,,74.675,57.2510734358091,-0.552831411361694,-0.39837571978569,0.20857498049736,2.72550021563363,0.0529896952211857,-0.487095445394516,,39.324273825017,10.1129765481126,"61,75","66,97","41,84","70,61",63,"66,35",-0.86360615,36,94.5,41.4,45.5897474033429
Philippines,5.82115811213955,47.977,2.3475097233369,10131.3463697941,2.598,14.6190058206626,75.2111,72.4296836107599,-0.518263161182404,0.063930444419384,0.0627855956554413,7.58098212785563,-0.0548803359270096,-0.655268549919128,,25.9819623155405,8.06121463401626,"41,84","44,44","23,13","54,97","61,83","24,83",0.79559034,33,96.3,40.68,48.8730299164323
Poland,14.4294507575758,60.134,6.00626096603428,46038.6679847742,2.811,17.1234661463792,86.9411,123.021332860345,0.428134799003601,0.258881956338882,0.717305660247803,5.25545697386036,0.603501915931702,0.505146443843842,,,,"65,64","50,95","57,41","68,95","82,53","68,33",1.0261523,55,99.8,35.34,39.3159295032007
Portugal,7.83269124233323,67.381,3.71003929656135,44519.8646256667,6.011,22.894989595793,84.4969,101.364147310434,1.11221826076508,1.00113356113434,0.762673318386078,6.98584193827881,1.25769352912903,0.795802593231201,,,,"87,07","91,86","77,41","84,21","93,14","88,73",0.66982573,62,95.9,37.36,89.4538524652967
Romania,13.7954887432521,54.489,3.87290125410084,42182.5728078236,5.614,16.1575659433589,85.5031,93.6215624887545,0.403401881456375,-0.000462350901216269,0.364533066749573,3.96530766311717,0.566261529922485,0.431136310100555,50.8849084169995,,,"68,46","66,77","46,77","76,46","81,67","70,63",1.2816548,46,98.9,32.01,25.1339572608586
Russian Federation,,75.126,-1.7564179452356,40991.6171875,3.867,10.9703387752924,90.418,43.2587048229719,-1.19659042358398,-0.696263790130615,-1.14197266101837,-2.06971152527731,-1.26177060604095,-1.00599670410156,19.5062376778091,,,"38,82","36,36","34,84","44,61","51,29",27,-0.36029798,28,99.7,36.03,
Rwanda,17.6892095588153,17.721,2.29121490634389,3095.91864058305,15.084,,34.4405,61.1450799962783,0.147747457027435,0.232074052095413,0.16292978823185,8.15773308481241,-0.93596738576889,0.082752451300621,,74.3580925411058,11.4916966088178,"45,18","42,12","31,89","57,89","55,25","38,76",-0.5350747,51,75.9,43.71,22.8466318850573
Saudi Arabia,2.4740737192537,84.729,2.53074190231041,61440.7652906224,5.589,7.77202251312307,100.0,63.5136679204925,0.289913713932037,0.582258403301239,0.418585479259491,7.48598429134137,-1.48439347743988,-0.355806291103363,,,,"33,71","37,27","33,67","22,37","36,5","38,75",0.43345684,51,97.6,42.2,
Senegal,9.69681899081073,49.086,0.253824628077479,4529.14886305445,2.837,18.7027845144628,59.9832,80.0330777056171,-0.268764853477478,0.0397833846509457,-0.296521306037903,3.82586363675534,0.176930591464043,-0.157593667507172,,120.803963960495,26.2089312177689,"63,07","59,31","42,13","66,67","72,43","74,84",-0.6747872,43,58.0,38.31,32.3729350761131
